연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,2224,119,306620.0,2422,미상
2018-01,2225,36,144900.0,940,서초구
2018-01,2226,32,145050.0,666,서초구
2018-01,2227,107,484530.0,2883,서초구
2018-01,2228,235,696000.0,4229,서초구
2018-01,2229,26,38190.0,306,서초구
2018-01,223,373,634530.0,3986,영등포구
2018-01,2230,209,446220.0,3070,서초구
2018-01,2231,250,904690.0,6459,서초구
2018-01,2233,70,181040.0,1097,서초구
2018-01,2235,51,132520.0,1174,서초구
2018-01,2237,139,486360.0,3855,서초구
2018-01,2239,108,472880.0,3034,서초구
2018-01,224,409,1202210.0,3569,영등포구
2018-01,2241,117,288190.0,1979,서초구
2018-01,2242,338,905500.0,5447,서초구
2018-01,2243,132,390460.0,2069,서초구
2018-01,2244,210,661970.0,4588,서초구
2018-01,2245,45,150280.0,863,서초구
2018-01,2246,88,279200.0,1112,서초구
2018-01,2247,170,773370.0,3406,서초구
2018-01,2248,123,270240.0,1629,서초구
2018-01,2249,44,105420.0,543,서초구
2018-01,225,240,480170.0,2185,영등포구
2018-01,2250,47,193820.0,949,서초구
2018-01,2251,51,68780.0,461,서초구
2018-01,2252,313,679770.0,4887,서초구
2018-01,2255,341,606320.0,4137,서초구
2018-01,2256,31,142510.0,646,서초구
2018-01,2257,24,69660.0,353,서초구
2018-01,2258,86,407040.0,2485,서초구
2018-01,2259,110,269450.0,3031,서초구
2018-01,226,321,891450.0,4765,영등포구
2018-01,2262,130,587770.0,4479,서초구
2018-01,2263,224,689760.0,3473,서초구
2018-01,2264,193,620450.0,3229,서초구
2018-01,2265,136,308020.0,2373,서초구
2018-01,2268,101,251170.0,2263,서초구
2018-01,2269,59,325940.0,1846,서초구
2018-01,227,144,673120.0,3111,영등포구
2018-01,2272,44,184190.0,1486,서초구
2018-01,2273,88,155910.0,776,서초구
2018-01,2274,112,232050.0,1463,서초구
2018-01,2275,5,40550.0,194,서초구
2018-01,2276,68,185150.0,1209,서초구
2018-01,228,296,1030440.0,5774,영등포구
2018-01,229,148,762240.0,3742,영등포구
2018-01,230,565,1432060.0,8465,영등포구
2018-01,2301,151,1025760.0,6414,강남구
2018-01,2302,177,812190.0,4769,강남구
2018-01,2303,13,19110.0,213,강남구
2018-01,2304,53,95460.0,584,강남구
2018-01,2305,56,152830.0,869,강남구
2018-01,2306,319,1051550.0,8179,강남구
2018-01,2308,204,809080.0,6875,강남구
2018-01,2309,71,216160.0,1269,강남구
2018-01,231,176,596950.0,1881,영등포구
2018-01,2310,60,235530.0,1655,강남구
2018-01,2311,43,137350.0,816,강남구
2018-01,2312,86,559650.0,1901,강남구
2018-01,2313,111,562190.0,2796,강남구
2018-01,2314,69,379270.0,2369,강남구
2018-01,2315,119,332520.0,2114,강남구
2018-01,2316,129,535870.0,2596,강남구
2018-01,2317,80,457960.0,2740,강남구
2018-01,2318,65,230630.0,1166,강남구
2018-01,2319,106,445710.0,2554,강남구
2018-01,232,411,1240260.0,6501,영등포구
2018-01,2320,110,699880.0,4488,강남구
2018-01,2321,129,461940.0,3375,강남구
2018-01,2322,114,278350.0,2140,강남구
2018-01,2323,57,221450.0,1440,강남구
